ISODateTimeUTC,SecondsSince1970,COG,Heel,Heel_Abs,Heel_Lwd,Lat,LatBow,LatCenter,LatStern,Line_C,Line_L,Line_R,Log,Lon,LonBow,LonCenter,LonStern,MagneticVariation,ROT,Side_lines,SOG,TimeLocal,TimeUTC,Total_lines,Trim,TWA,TWA_Abs,TWD,TWS,VMG,run,rider_name,boat_name,maneuver_type,interval_duration,start_time,end_time,target_id,maneuver_index
2025-06-08T07:47:32.759Z,1749368852.759,243.5,45.9,45.9,45.9,43.5205868,43.520585958,43.520588766,43.520591574,104.7,7.3,3.1,6424.117,4.1062341,4.10623177,4.106239537,4.106247304,2.5,33.663,10.4,20.8,1749376052759.0,1749368852759.0,115.1,2.4,58.928,58.928,302.428,9.476,10.735,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:32.859Z,1749368852.859,243.6,45.6,45.6,45.6,43.5205829,43.520582061,43.520584859,43.520587657,105.25,5.1,3.25,6425.155,4.1062224,4.106220068,4.106227842,4.106235616,2.5,1.0,9.65,20.9,1749376052859.0,1749368852859.0,114.9,3.2,58.858,58.858,302.458,9.486,10.809,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:32.959Z,1749368852.959,245.2,40.8,40.8,40.8,43.520579,43.520578208,43.520580848,43.520583488,105.8,5.5,3.4,6426.238,4.1062101,4.106207736,4.106215615,4.106223494,2.5,16.0,8.9,20.8,1749376052959.0,1749368852959.0,114.7,1.6,57.288,57.288,302.488,9.496,11.241,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:33.053Z,1749368853.053,246.6,47.5,47.5,47.5,43.5205752,43.52057445,43.52057695,43.520579449,109.2,7.7,4.5,6427.316,4.1061978,4.10619541,4.106203376,4.106211341,2.5,14.737,12.2,20.8,1749376053053.998,1749368853053.998,121.4,5.4,55.916,55.916,302.516,9.495,11.656,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:33.158Z,1749368853.158,246.9,49.3,49.3,49.3,43.5205717,43.520570959,43.520573428,43.520575898,117.1,7.145,5.6,6428.382,4.1061855,4.106183105,4.106191088,4.106199072,2.5,2.857,12.15,20.8,1749376053158.999,1749368853158.999,125.489,5.0,55.648,55.648,302.548,9.484,11.737,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:33.262Z,1749368853.262,248.5,46.9,46.9,46.9,43.5205684,43.520567708,43.520570015,43.520572321,117.4,6.6,5.5,6429.41,4.1061736,4.106171177,4.106179253,4.106187328,2.5,15.534,12.1,20.8,1749376053262.0,1749368853262.0,129.5,1.0,54.079,54.079,302.579,9.474,12.203,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:33.359Z,1749368853.359,249.1,51.8,51.8,51.8,43.5205648,43.520564126,43.520566372,43.520568617,116.9,4.0,5.402,6430.494,4.1061611,4.106158668,4.106166776,4.106174884,2.5,6.186,9.392,20.8,1749376053359.0,1749368853359.0,121.523,4.7,53.508,53.508,302.608,9.464,12.37,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:33.459Z,1749368853.459,248.6,50.6,50.6,50.6,43.5205611,43.520560411,43.520562707,43.520565004,106.7,1.3,5.3,6431.554,4.106149,4.106146576,4.106154657,4.106162737,2.5,-5.0,6.6,20.8,1749376053459.0,1749368853459.0,113.3,2.7,54.038,54.038,302.638,9.454,12.215,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:33.548Z,1749368853.548,247.3,48.9,48.9,48.9,43.5205577,43.520556971,43.5205594,43.520561829,101.6,3.0,5.5,6432.63,4.1061365,4.106134098,4.106142105,4.106150112,2.5,-14.607,8.5,20.8,1749376053548.0,1749368853548.0,110.1,0.2,55.364,55.364,302.664,9.445,11.822,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:33.658Z,1749368853.658,249.5,52.1,52.1,52.1,43.5205543,43.520553639,43.520555843,43.520558047,115.1,8.6,7.3,6433.692,4.1061242,4.106121761,4.106129891,4.10613802,2.5,19.82,15.9,20.8,1749376053658.999,1749368853658.999,131.0,5.0,53.198,53.198,302.698,9.434,12.46,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:33.759Z,1749368853.759,248.9,50.1,50.1,50.1,43.5205511,43.52055042,43.520552686,43.520554952,118.9,9.8,7.9,6434.753,4.1061118,4.106109371,4.106117468,4.106125565,2.5,-6.0,17.7,20.8,1749376053759.0,1749368853759.0,136.6,4.3,53.828,53.828,302.728,9.424,12.276,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:33.858Z,1749368853.858,250.9,47.1,47.1,47.1,43.520548,43.520547382,43.520549442,43.520551501,115.1,7.6,6.7,6435.819,4.1060993,4.10609684,4.106105041,4.106113242,2.5,20.202,14.3,20.7,1749376053858.0,1749368853858.0,129.4,3.4,51.857,51.857,302.757,9.414,12.785,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:33.959Z,1749368853.959,251.2,52.1,52.1,52.1,43.5205446,43.520543992,43.52054602,43.520548048,115.2,5.5,8.057,6436.896,4.1060868,4.106084335,4.106092551,4.106100767,2.5,2.97,14.099,20.8,1749376053959.0,1749368853959.0,130.003,3.6,51.588,51.588,302.788,9.404,12.923,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:34.059Z,1749368854.059,249.3,54.6,54.6,54.6,43.520541,43.520540333,43.520542557,43.520544782,116.7,4.5,9.4,6437.973,4.1060744,4.106071964,4.106080083,4.106088202,2.5,-19.0,13.9,20.8,1749376054059.0,1749368854059.0,130.6,2.3,53.565,53.565,302.865,9.406,12.353,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:34.158Z,1749368854.158,248.4,47.8,47.8,47.8,43.5205372,43.520536505,43.520538822,43.520541139,114.0,3.3,7.6,6439.088,4.1060616,4.106059179,4.106067249,4.106075318,2.5,-9.0,10.9,20.8,1749376054158.999,1749368854158.999,124.9,-0.3,54.575,54.575,302.975,9.416,12.056,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:34.260Z,1749368854.26,247.8,52.5,52.5,52.5,43.520534,43.520533287,43.520535665,43.520538042,100.0,2.127,3.9,6440.158,4.1060491,4.106046689,4.106054725,4.106062761,2.5,-5.882,9.672,20.8,1749376054260.998,1749368854260.998,112.585,0.0,55.287,55.287,303.087,9.426,11.845,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:34.359Z,1749368854.359,250.4,61.0,61.0,61.0,43.5205305,43.520529867,43.520531978,43.520534089,90.797,1.0,3.602,6441.223,4.1060368,4.106034347,4.106042523,4.1060507,2.5,26.53,8.492,20.8,1749376054359.0,1749368854359.0,100.753,5.5,52.795,52.795,303.195,9.436,12.577,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:34.457Z,1749368854.457,248.8,57.1,57.1,57.1,43.5205265,43.520525817,43.520528093,43.520530369,81.5,4.0,3.3,6442.311,4.1060245,4.106022072,4.106030164,4.106038256,2.5,-16.162,7.3,20.9,1749376054457.999,1749368854457.999,88.8,6.1,54.504,54.504,303.304,9.446,12.136,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:34.558Z,1749368854.558,245.5,60.4,60.4,60.4,43.5205222,43.520521417,43.520524027,43.520526637,87.1,9.1,8.8,6443.434,4.1060119,4.106009531,4.106017428,4.106025326,2.5,-33.0,17.9,20.9,1749376054558.0,1749368854558.0,105.0,2.8,57.914,57.914,303.414,9.456,11.102,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:34.658Z,1749368854.658,245.0,52.7,52.7,52.7,43.5205181,43.520517302,43.520519962,43.520522622,102.6,7.0,8.372,6444.525,4.1059996,4.10599724,4.106005106,4.106012972,2.5,-4.951,16.19,20.9,1749376054658.999,1749368854658.999,116.383,3.5,58.525,58.525,303.525,9.466,10.912,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:34.747Z,1749368854.747,245.5,52.4,52.4,52.4,43.520514,43.520513217,43.520515827,43.520518437,111.6,6.7,8.0,6445.617,4.1059873,4.105984931,4.105992828,4.106000726,2.5,5.682,14.7,20.9,1749376054747.0,1749368854747.0,126.3,4.9,58.122,58.122,303.622,9.475,11.038,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:34.857Z,1749368854.857,245.4,47.1,47.1,47.1,43.52051,43.520509214,43.520511834,43.520514454,117.2,7.6,7.5,6446.712,4.1059749,4.105972533,4.105980424,4.105988315,2.5,-0.909,15.1,21.0,1749376054857.0,1749368854857.0,132.3,6.2,58.343,58.343,303.743,9.486,11.022,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:34.960Z,1749368854.96,246.0,45.6,45.6,45.6,43.5205063,43.520505532,43.520508092,43.520510652,131.2,6.164,4.8,6447.809,4.1059623,4.105959921,4.10596785,4.105975779,2.5,5.825,11.733,21.1,1749376054960.0,1749368854960.0,133.439,3.4,57.856,57.856,303.856,9.496,11.226,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:35.064Z,1749368855.064,247.7,49.8,49.8,49.8,43.520503,43.520502284,43.520504672,43.52050706,126.3,4.7,3.6,6448.896,4.1059496,4.105947191,4.105955221,4.105963251,2.5,16.191,8.3,21.2,1749376055064.999,1749368855064.999,134.6,3.5,56.258,56.258,303.958,9.507,11.775,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:35.163Z,1749368855.163,250.6,55.2,55.2,55.2,43.5204997,43.520499073,43.520501163,43.520503254,117.0,2.6,4.067,6449.969,4.1059371,4.105934644,4.10594283,4.105951017,2.5,29.592,9.2,21.2,1749376055163.0,1749368855163.0,130.2,9.1,53.447,53.447,304.047,9.516,12.626,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:35.260Z,1749368855.26,249.9,61.9,61.9,61.9,43.5204963,43.520495651,43.520497814,43.520499977,111.6,4.8,4.533,6451.031,4.1059248,4.105922355,4.105930505,4.105938656,2.5,-7.143,10.1,21.0,1749376055260.998,1749368855260.998,125.8,5.6,54.235,54.235,304.135,9.526,12.274,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:35.359Z,1749368855.359,249.2,59.8,59.8,59.8,43.5204928,43.52049213,43.520494364,43.520496599,110.4,6.0,5.0,6452.142,4.1059119,4.105909466,4.105917579,4.105925693,2.5,-7.143,11.0,21.2,1749376055359.0,1749368855359.0,121.4,-2.5,55.023,55.023,304.223,9.536,12.153,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:35.457Z,1749368855.457,249.8,63.4,63.4,63.4,43.5204893,43.520488648,43.520490821,43.520492994,104.5,3.5,3.7,6453.223,4.1058994,4.105896956,4.105905102,4.105913247,2.5,6.061,7.2,21.2,1749376055457.999,1749368855457.999,111.7,-1.6,54.512,54.512,304.312,9.546,12.307,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:35.559Z,1749368855.559,249.3,55.7,55.7,55.7,43.5204848,43.520484133,43.520486357,43.520488582,102.48,3.096,3.953,6454.313,4.1058874,4.105884964,4.105893083,4.105901202,2.5,-4.95,7.048,21.2,1749376055559.0,1749368855559.0,109.528,0.9,55.103,55.103,304.403,9.556,12.129,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:35.657Z,1749368855.657,242.4,45.4,45.4,45.4,43.5204813,43.520480425,43.520483341,43.520486257,100.5,2.7,4.2,6455.371,4.1058752,4.105872893,4.105880584,4.105888275,2.5,-69.698,6.9,21.2,1749376055657.999,1749368855657.999,107.4,0.8,62.092,62.092,304.492,9.566,9.923,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:35.759Z,1749368855.759,248.4,37.4,37.4,37.4,43.5204774,43.520476705,43.520479022,43.520481339,93.0,3.3,4.0,6456.46,4.1058628,4.105860379,4.105868449,4.105876518,2.5,59.405,7.3,21.2,1749376055759.0,1749368855759.0,100.3,1.7,56.183,56.183,304.583,9.576,11.799,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:35.858Z,1749368855.858,246.7,41.4,41.4,41.4,43.5204749,43.520474153,43.520476643,43.520479132,96.6,5.3,4.746,6457.514,4.1058502,4.105847809,4.10585578,4.105863751,2.5,-17.172,11.23,21.1,1749376055858.0,1749368855858.0,110.349,4.0,57.972,57.972,304.672,9.586,11.19,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:35.957Z,1749368855.957,254.7,45.5,45.5,45.5,43.5204714,43.520470902,43.520472562,43.520474223,105.3,9.7,5.5,6458.595,4.1058377,4.105835189,4.10584356,4.105851932,2.5,80.001,15.2,21.1,1749376055957.999,1749368855957.999,120.5,3.3,50.062,50.062,304.762,9.596,13.545,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
2025-06-08T07:47:36.073Z,1749368856.073,249.0,47.9,47.9,47.9,43.520469,43.520468323,43.520470579,43.520472834,116.4,8.3,5.4,6459.677,4.1058247,4.105822269,4.105830372,4.105838475,2.5,-49.138,13.7,21.0,1749376056073.998,1749368856073.998,130.1,-1.2,55.874,55.874,304.874,9.585,11.781,08_06_2025_Run1,Karl,Karl Maeder,Tack,14.0,1749368859.859,1749368873.859,1,0
