ISODateTimeUTC,SecondsSince1970,COG,Heel,Heel_Abs,Heel_Lwd,Lat,LatBow,LatCenter,LatStern,Line_C,Line_L,Line_R,Log,Lon,LonBow,LonCenter,LonStern,MagneticVariation,ROT,Side_lines,SOG,TimeLocal,TimeUTC,Total_lines,Trim,TWA,TWA_Abs,TWD,TWS,VMG,run,rider_name,boat_name,maneuver_index,maneuver_type,interval_duration,start_time,end_time,Line_R2,Line_L2,Line_C2,side_line2,total_line2,Timestamp GPS,Latitude,Longitude,Euler_X (deg),Euler_Y (deg),LoadCell_1,LoadCell_2,LoadCell_3,LoadCell_4,LoadCell_5,LoadCell_6,F_front,F_back,M_tot_X,M_tot_Y,M_front_X,M_front_Y,M_back_X,M_back_Y,P_front_X,P_front_Y,P_back_X,P_back_Y
2025-06-11 12:55:01.456000+00:00,1749646501.456,45.7,40.9,40.9,40.9,43.5131414,43.513142719,43.513138323,43.513133928,78.0,4.1,7.1,2174.427,4.0949399,4.094941763,4.094935552,4.094929342,2.5,10.0,11.2,19.2,1749653701456.999,1749646501456.999,89.0,8.8,147.446,147.446,193.146,5.354,16.183,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,4.1,7.1,78.0,11.2,89.2,2025-06-11 12:55:01.450000+00:00,43.5131683349609,4.0949101448059,313.875,4.625,2825.59981340354,18179.8196853754,15777.6166665023,-3701.55262799552,13215.2029513279,13774.4473215538,23288.0976448862,36783.0361652813,4073.12640932714,3588.25769236349,2437.90199296213,-285.321589805481,1635.224416365,-246.490903541841,-12.2518204001147,-104.684462858968,-6.70121146156223,-44.4559391187086
2025-06-11 12:55:01.556000+00:00,1749646501.556,47.9,44.4,44.4,44.4,43.5131475,43.513148766,43.513144546,43.513140327,80.0,4.35,6.9,2175.433,4.0949491,4.094951032,4.094944593,4.094938154,2.5,22.0,11.4,19.2,1749653701556.997,1749646501556.997,91.8,8.3,145.256,145.256,193.156,5.344,15.777,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,4.35,6.9,80.0,11.25,91.25,2025-06-11 12:55:01.600000+00:00,43.5131797790527,4.09492826461792,314.0625,4.5,2617.12281156333,26854.9984584429,15556.6500612129,-5438.83421053709,11458.3991781106,23151.5594184466,29171.1243860201,45028.7713312192,6569.69366763591,4809.44360479604,3988.35991124322,567.892803505742,2581.33375639268,-656.114467494608,19.4676350486475,-136.722872195992,-14.5710053394175,-57.3263200411377
2025-06-11 12:55:01.657000+00:00,1749646501.657,47.5,48.1,48.1,48.1,43.5131535,43.513154776,43.513150524,43.513146272,83.0,4.6,7.0,2176.431,4.0949583,4.094960219,4.094953821,4.094947423,2.5,-4.0,11.6,19.2,1749653701657.0,1749646501657.0,94.6,12.0,145.666,145.666,193.166,5.334,15.855,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,4.6,7.0,83.0,11.6,94.6,2025-06-11 12:55:01.650000+00:00,43.5131797790527,4.09492826461792,315.375,5.0,2287.1809557705,30755.4747911297,15373.0336677918,-6205.01376667573,10255.8866159053,28473.9932162122,32524.8660654419,48415.689414692,7869.59476757863,5162.3327076742,4837.72147411287,1090.7888292937,3031.87329346575,-833.12268102996,33.5370736684657,-148.739166654186,-17.2077004603624,-62.621710650385
2025-06-11 12:55:01.756000+00:00,1749646501.756,48.2,40.2,40.2,40.2,43.5131597,43.513160958,43.513156764,43.513152569,94.9,11.6,10.2,2177.438,4.0949674,4.094969341,4.094962871,4.094956402,2.5,7.071,21.8,19.3,1749653701756.0,1749646501756.0,116.7,11.0,144.976,144.976,193.176,5.324,15.805,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,10.2,11.6,94.9,21.8,116.7,2025-06-11 12:55:01.800000+00:00,43.5131912231445,4.09494686126709,316.625,6.125,1957.97185244103,33736.8025507442,13115.2423665486,-7006.24426692121,8842.22860333793,35514.2663526146,37350.2506890313,48810.0167697339,9316.05670079455,3931.30680872165,5931.61123142525,1785.65404819788,3384.44546936929,-1064.62493552742,47.8083551048901,-158.810479769207,-21.8116076572948,-69.3391580940394
2025-06-11 12:55:01.859000+00:00,1749646501.859,47.0,40.0,40.0,40.0,43.5131659,43.513167188,43.513162896,43.513158603,101.4,11.9,11.3,2178.469,4.0949769,4.094978804,4.094972457,4.094966111,2.5,-11.65,23.2,19.4,1749653701859.0,1749646501859.0,124.6,10.2,146.186,146.186,193.186,5.314,16.118,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,11.3,11.9,101.4,23.200000000000003,124.6,2025-06-11 12:55:01.850000+00:00,43.5131912231445,4.09494686126709,316.5625,8.0,841.890818819258,35200.2015294367,11562.5348724885,-7612.45034832037,8287.64027585188,37348.6164755763,38023.8064031078,47604.6272207445,9931.22891261435,3272.3032883515,6272.06882193359,1947.52614730749,3659.16009068076,-1154.21113498243,51.2186004383903,-164.951103407178,-24.2457761433634,-76.8656390000302
2025-06-11 12:55:01.956000+00:00,1749646501.956,47.9,37.1,37.1,37.1,43.5131721,43.513173366,43.513169146,43.513164927,101.9,9.6,10.1,2179.494,4.0949863,4.094988232,4.094981793,4.094975354,2.5,9.184,19.7,19.5,1749653701956.999,1749646501956.999,121.6,8.5,145.296,145.296,193.196,5.304,16.031,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,9.6,10.1,101.9,19.7,121.6,2025-06-11 12:55:01.850000+00:00,43.5131912231445,4.09494686126709,316.5625,8.0,841.890818819258,35200.2015294367,11562.5348724885,-7612.45034832037,8287.64027585188,37348.6164755763,38023.8064031078,47604.6272207445,9931.22891261435,3272.3032883515,6272.06882193359,1947.52614730749,3659.16009068076,-1154.21113498243,51.2186004383903,-164.951103407178,-24.2457761433634,-76.8656390000302
2025-06-11 12:55:02.052000+00:00,1749646502.052,48.3,38.6,38.6,38.6,43.5131778,43.513179056,43.513174869,43.513170683,105.054,9.4,10.3,2180.501,4.094996,4.094997944,4.094991464,4.094984985,2.5,4.167,19.7,19.5,1749653702052.998,1749646502052.998,124.29,7.4,144.905,144.905,193.205,5.3,15.955,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,9.4,10.3,105.054,19.700000000000003,124.754,2025-06-11 12:55:02.200000+00:00,43.5132141113281,4.09498500823974,314.6875,7.5625,832.929590664263,29324.4434161917,7850.28784145338,-7641.39607720229,7709.94009193883,31193.6339253583,31262.1779400948,38007.6608483093,8451.83290777587,1840.94974787985,5417.4866853572,1438.48063626452,3034.34622241867,-1051.77906554873,46.0134491915746,-173.292043047617,-27.6728175866028,-79.8351215174465
2025-06-11 12:55:02.164000+00:00,1749646502.164,50.9,48.8,48.8,48.8,43.5131837,43.513184891,43.513180922,43.513176952,108.7,8.7,10.0,2181.504,4.0950054,4.09500742,4.095000686,4.094993951,2.5,23.423,18.7,19.5,1749653702164.0,1749646502164.0,127.4,11.6,142.316,142.316,193.216,5.3,15.432,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,8.7,10.0,108.7,18.7,127.4,2025-06-11 12:55:02.200000+00:00,43.5132141113281,4.09498500823974,314.6875,7.5625,832.929590664263,29324.4434161917,7850.28784145338,-7641.39607720229,7709.94009193883,31193.6339253583,31262.1779400948,38007.6608483093,8451.83290777587,1840.94974787985,5417.4866853572,1438.48063626452,3034.34622241867,-1051.77906554873,46.0134491915746,-173.292043047617,-27.6728175866028,-79.8351215174465
2025-06-11 12:55:02.260000+00:00,1749646502.26,49.6,52.3,52.3,52.3,43.5131895,43.513190724,43.513186645,43.513182566,103.6,9.6,9.04,2182.487,4.0950146,4.095016583,4.095009974,4.095003365,2.5,-13.402,18.043,19.5,1749653702260.997,1749646502260.997,121.236,18.3,143.626,143.626,193.226,5.3,15.701,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,9.04,9.6,103.6,18.64,122.24,2025-06-11 12:55:02.200000+00:00,43.5132141113281,4.09498500823974,314.6875,7.5625,832.929590664263,29324.4434161917,7850.28784145338,-7641.39607720229,7709.94009193883,31193.6339253583,31262.1779400948,38007.6608483093,8451.83290777587,1840.94974787985,5417.4866853572,1438.48063626452,3034.34622241867,-1051.77906554873,46.0134491915746,-173.292043047617,-27.6728175866028,-79.8351215174465
2025-06-11 12:55:02.356000+00:00,1749646502.356,48.8,50.1,50.1,50.1,43.5131957,43.513196944,43.513192798,43.513188653,97.8,9.3,8.1,2183.53,4.0950243,4.095026259,4.095019729,4.0950132,2.5,-8.421,17.4,19.6,1749653702356.0,1749646502356.0,115.2,13.1,144.436,144.436,193.236,5.3,15.944,11_06_2025_Run3,Gian,SenseBoard,6,Jibe,14.105000019073486,1749646494.157,1749646508.262,8.1,9.3,97.8,17.4,115.2,2025-06-11 12:55:02.400000+00:00,43.5132255554199,4.09500312805175,313.9375,7.5625,1058.98888051605,27823.9204765499,10139.6721453443,-7374.57539014265,8125.42807580658,29808.0683886209,30558.9210742849,39022.5815024102,8037.44402211513,2613.91667947814,5186.97880713752,1299.17229497859,2850.4652149776,-883.743634532675,42.5136833797393,-169.736974500134,-22.6469802998064,-73.0465567687146
